era,un.name,rname,rank,gdpmean,score,Tech.Eff,Alloc.Eff,gdpIndex
1970,MMR,Asia,68,NA,0.446662532,0.932686688,1,NA
1970,MOZ,Africa,7,NA,0.809247649,0.896160944,0.891490481,NA
1970,MRT,Africa,63,311.2970306,0.456020801,0.619401387,0.847583448,5.740747539
1970,MUS,Africa,84,1012.559434,0.398363489,0.822471611,0.750334281,6.920236497
1970,MYS,Asia,106,814.8240261,0.322866129,0.952917764,0.875150382,6.702972171
1970,NAM,Africa,143,NA,0.156395105,0.552556259,0.742638879,NA
1970,NGA,Africa,15,396.8965437,0.647307005,0.973849445,0.916577942,5.983675652
1970,NIC,North America,76,512.563872,0.42159378,0.812714672,0.966662724,6.239425332
1970,NLD,Europe,138,6970.153117,0.176120438,0.925931297,0.849071034,8.849392471
1970,NOR,Europe,116,7586.421267,0.28470084,0.952222977,0.845385408,8.934115253
1970,PAK,Asia,60,181.8635173,0.475455416,0.893315441,0.881393228,5.203256501
1970,PAN,North America,118,1332.022928,0.276858295,0.861151206,0.964161563,7.194454064
1970,PER,South America,107,824.9271043,0.322511633,0.81516973,0.764951349,6.715295024
1970,PHL,Asia,88,351.6748066,0.393650591,0.916420769,0.884625453,5.862706904
1970,PNG,Oceania,93,471.413163,0.367819471,0.837912785,0.705153374,6.155734913
1970,POL,Europe,131,NA,0.235972868,0.925710655,0.892537651,NA
1970,PRT,Europe,108,1883.237754,0.311161852,0.883905056,0.869753607,7.540747784
1970,QAT,Asia,95,13365.11183,0.364826164,0.675943118,1,9.500402996
1970,RUS,Europe,48,NA,0.501432395,0.933101023,0.847031912,NA
1970,SAU,Asia,82,5719.802249,0.403629959,0.917803264,0.910824365,8.651689512
1970,SDN,Africa,31,325.4779402,0.561655443,0.279,0.991873204,5.785294687
1970,SEN,Africa,23,487.7908515,0.60286265,0.952494738,0.904481832,6.189886731
1970,SGP,Asia,96,2247.091978,0.357804744,0.69771625,0.713080745,7.717392205
1970,SLB,Oceania,3,415.5973146,0.901230309,0.957157155,1,6.029716798
1970,SLE,Africa,9,218.1358564,0.752615175,0.773730264,0.858718811,5.385118063
1970,SLV,North America,71,488.6756173,0.439020018,0.760944129,0.390827087,6.19169891
1970,SOM,Africa,38,NA,0.527489935,0.761716982,0.925076141,NA
1970,STP,Africa,13,NA,0.675062392,0.546613976,0.873856944,NA
1970,SUR,South America,72,1308.737569,0.431840825,0.250425307,0.458605325,7.176818263
1970,SWE,Europe,140,8993.292514,0.16346815,0.62366794,0.821191941,9.104234302
1970,SYC,Africa,28,875.7222081,0.585155228,0.771500577,0.93174576,6.775048927
1970,SYR,Asia,55,745.3670984,0.487092341,0.773421995,0.893750718,6.613876847
1970,TGO,Africa,51,228.8248693,0.496878553,0.773240087,0.484144377,5.432956948
1970,THA,Asia,73,350.431659,0.429072042,0.900244995,0.937598406,5.859165706
1970,TON,Oceania,20,404.2905597,0.611863419,0.696643378,1,6.002133827
1970,TTO,North America,87,2186.023951,0.394045416,0.572591547,0.602956671,7.689839625
1970,TUN,Africa,98,673.3478749,0.348092428,0.726552392,0.646129766,6.512262098
1970,TUR,Asia,122,1058.632541,0.263301033,0.576960628,0.733216749,6.964733299
1970,TUV,Oceania,10,NA,0.717797193,0.041400028,1,NA
1970,TZA,Africa,50,NA,0.497444379,0.678850998,0.678202291,NA
1970,URY,South America,141,1355.372435,0.15826322,0.826044888,0.500307062,7.211831556
1970,USA,North America,142,7914.964069,0.15728165,0.959409683,0.743576941,8.976510433
1970,VCT,North America,57,391.5460128,0.478559473,0.219625657,1,5.970103038
1970,VEN,South America,44,1942.758271,0.513516643,0.762862848,0.78003822,7.571864031
1970,VNM,Asia,43,NA,0.514346424,0.688888658,0.868933758,NA
1970,VUT,Oceania,5,1059.325238,0.818550262,0.9067675,0.968449399,6.965387416
1970,WSM,Oceania,6,NA,0.810912605,0.125637212,0.932067043,NA
1970,YEM,Asia,25,NA,0.600418482,0.729528751,0.950585385,NA
1970,ZAF,Africa,130,1310.463793,0.238938298,0.615640864,0.570338986,7.178136394
1980,AGO,Africa,36,672.7083428,0.528329802,0.615155341,0.304258459,6.511311867
1980,ALB,Europe,123,666.4645702,0.261815531,0.756066627,0.882000472,6.50198698
1980,ARE,Asia,67,31197.89062,0.448962558,0.869911738,0.958868192,10.34810576
1980,ARG,South America,139,3097.192836,0.167003997,0.835416363,0.806557335,8.038251443
1980,ATG,North America,52,3674.43235,0.493384448,0.637901016,0.927704203,8.209153937
1980,AUS,Oceania,133,12520.7737,0.220030046,0.943803232,0.704677039,9.43514444
1980,BEL,Europe,135,11974.4589,0.214749952,0.857134396,0.741809877,9.390531235
1980,BEN,Africa,12,311.3476127,0.688742195,0.531940485,0.598223509,5.740910014
1980,BGD,Asia,18,234.2342446,0.627542039,0.795918669,0.957136974,5.45632166
1980,BGR,Europe,127,2275.470106,0.252121525,0.687739686,0.38590712,7.72994195
1980,BHR,Asia,56,8555.822119,0.483456871,0.742528319,0.622512563,9.05436728
1980,BHS,North America,62,9161.374792,0.464906157,0.940712273,0.846743512,9.122751533
1980,BLZ,North America,21,1454.221686,0.607443847,0.481666157,0.921628132,7.282226112
1980,BRA,South America,80,2027.94746,0.412039257,0.873989957,0.865729815,7.614779457
1980,BRB,North America,86,4762.319345,0.39549722,0.756244916,0.806839367,8.468490086
1980,BRN,Asia,101,16375.38047,0.344607474,0.591724593,0.986121648,9.703534295
1980,CAN,North America,54,14728.98123,0.490642638,0.932932695,0.732118813,9.597572344
1980,CHL,South America,146,2021.02182,0.118632105,0.865896051,0.71882033,7.611358514
1980,CHN,Asia,8,249.3975548,0.765473303,0.749488064,0.602097394,5.519048229
1980,CHN,Asia,69,249.3975548,0.444714953,0.749488064,0.602097394,5.519048229
1980,CHN,Asia,109,249.3975548,0.306846496,0.749488064,0.602097394,5.519048229
1980,CIV,Africa,22,864.0234138,0.604657435,0.840603088,0.788620979,6.761599868
1980,CMR,Africa,17,912.1140931,0.629894742,0.89224674,0.818296534,6.815765084
1980,COD,Africa,75,344.9972781,0.426384127,0.623370941,0.590344088,5.843536527
1980,COG,Africa,70,1003.684389,0.444645336,0.86215257,0.562293635,6.911432897
1980,COL,South America,112,1211.286013,0.295724865,0.676472471,0.712722448,7.099437895
1980,COM,Africa,14,696.1670754,0.674417081,0.95149582,0.798696136,6.545589682
1980,CPV,Africa,61,568.7044228,0.466089281,0.525891196,0.951108021,6.343360831
1980,CRI,North America,103,1461.424942,0.328211161,0.819519031,0.879224605,7.287167226
1980,CUB,North America,78,2313.556044,0.413576655,0.903637726,0.80033137,7.746541033
1980,CYP,Europe,90,5324.388047,0.377404848,0.850227611,0.441841119,8.580053063
1980,DEU,Europe,128,12622.38114,0.242783003,0.834091993,0.831683675,9.443226798
1980,DNK,Europe,134,15641.39351,0.216633221,0.975979811,0.972766415,9.657676109
1980,DOM,North America,58,1139.572702,0.478365168,0.829747656,0.885522259,7.038408648
1980,DZA,Africa,91,2406.614123,0.372478186,0.913963466,0.925141332,7.78597611
1980,ECU,South America,85,1893.837935,0.396644315,0.819185251,0.534001401,7.546360703
1980,EGY,Africa,102,664.1918746,0.344532488,0.39206284,0.675175448,6.498571075
1980,ERI,Africa,53,NA,0.491403911,0.052646737,0.971670765,NA
1980,ESP,Europe,136,6536.778169,0.206117683,0.909268174,0.942908316,8.785199688
1980,EST,Europe,104,NA,0.32544234,0.97604176,1,NA
1980,FIN,Europe,126,14544.89159,0.255118645,0.634432773,0.89026551,9.584995118
1980,FJI,Oceania,27,1709.798933,0.589598212,0.740003165,0.958387428,7.44413106
1980,FRA,Europe,100,12831.42802,0.345555062,0.97392881,0.867428475,9.459652754
1980,FSM,Oceania,2,1336.868179,0.909266359,0.857449517,0.662366331,7.198084978
1980,GAB,Africa,64,4499.781145,0.454549991,0.9725,0.810125487,8.41178404
1980,GBR,Europe,145,11025.65245,0.12728723,0.922176339,0.711478517,9.307979877
1980,GEO,Europe,120,NA,0.275699519,0.805336584,0.79438547,NA
1980,GHA,Africa,16,375.3992778,0.635472868,0.769873902,0.865551042,5.9279902
1980,GIN,Africa,40,399.4152665,0.521582999,0.496786065,0.86804742,5.990001644
1980,GMB,Africa,32,311.5614155,0.55890093,0.674315312,0.800199323,5.741596479
1980,GNB,Africa,24,174.7728418,0.602297241,0.687893278,0.805398999,5.163487084
1980,GNQ,Africa,81,185.5474599,0.408156022,0.718337915,0.919944124,5.223310698
1980,GRC,Europe,79,5920.54159,0.413243596,0.864455782,0.802419674,8.686183209
1980,GRD,North America,49,1760.749639,0.500578354,0.797355589,0.846391091,7.473494929
1980,GTM,North America,77,1037.694297,0.416361127,0.60778393,0.87880999,6.944756509
1980,GUY,South America,46,608.9847639,0.506518939,0.463121358,0.73502858,6.411793249
1980,HND,North America,47,1180.343272,0.501765408,0.704321591,0.965458147,7.073560584
1980,HTI,North America,11,305.6147706,0.699963225,0.9608471,0.956953279,5.722325389
1980,IDN,Asia,26,512.4904879,0.594090877,0.933051867,0.9308495,6.239282151
1980,IND,Asia,29,303.6950313,0.582425245,0.925023678,0.8245816,5.716024011
1980,IRL,Europe,147,7581.469483,0.102390556,0.934196235,0.61714448,8.933462323
1980,IRN,Asia,92,3028.42181,0.368042494,0.587507562,0.985134538,8.015796908
1980,ISL,Europe,144,16295.84424,0.151805576,0.800164802,0.827512327,9.6986654
1980,ISR,Asia,121,8028.441422,0.274817835,0.689179386,0.486269357,8.990745694
1980,ITA,Europe,125,10453.43641,0.255898034,0.937566739,0.767826793,9.254686046
1980,JAM,North America,34,1356.240561,0.546889343,0.638200311,0.883769519,7.212471857
1980,JOR,Asia,42,1807.080948,0.517966676,0.063878505,1,7.499468087
1980,JPN,Asia,137,15012.19981,0.203742323,0.982675228,0.847338486,9.61661847
1980,KEN,Africa,41,366.5997471,0.518308334,0.870704942,0.933495763,5.904270646
1980,KHM,Asia,114,NA,0.293324132,0.30788725,0.68833893,NA
1980,KIR,Oceania,1,596.9665981,0.999999999,0.685482041,0.98441207,6.391861162
1980,KNA,North America,30,2812.088012,0.564704777,0.520015965,1,7.941682551
1980,KOR,Asia,129,2931.834602,0.240988697,0.915805623,0.929002907,7.98338365
1980,KWT,Asia,97,13415.39791,0.351118519,0.793112105,0.726949389,9.504158424
1980,LBN,Asia,39,1128.574643,0.526767923,0.372719165,0.907970107,7.028710738
1980,LBR,Africa,66,NA,0.451286962,0.840954158,0.8393963,NA
1980,LBY,Africa,59,NA,0.47780711,0.707906054,0.983301426,NA
1980,LKA,Asia,35,355.4728693,0.528850589,0.860449924,0.892251154,5.873448929
1980,LTU,Europe,119,NA,0.27658499,0.892054358,0.974505902,NA
1980,LVA,Europe,110,NA,0.302593139,0.959132406,1,NA
1980,MAR,Africa,83,873.803385,0.400028173,0.810004907,0.909090353,6.77285539
