"","iyear","rname","mnshn"
"229",1984,"High Seas",0.0940814834408848
"230",1984,"North America",0.0593121939145685
"231",1984,"Oceania",0.0897878472562316
"232",1984,"South America",0.0477908199084446
"233",1985,"Africa",0.0752637720723232
"234",1985,"Asia",0.0585739529456222
"235",1985,"Europe",0.03881735917962
"236",1985,"High Seas",0.0735641361342349
"237",1985,"North America",0.0577107445903417
"238",1985,"Oceania",0.0882297096730067
"239",1985,"South America",0.0423546021911868
"240",1986,"Africa",0.0758122767919444
"241",1986,"Asia",0.0570346816557838
"242",1986,"Europe",0.0360945020913779
"243",1986,"High Seas",0.0852906883933027
"244",1986,"North America",0.0583904151323186
"245",1986,"Oceania",0.0846513693907644
"246",1986,"South America",0.0434812097004073
"247",1987,"Africa",0.0724952456626942
"248",1987,"Asia",0.0574770208417202
"249",1987,"Europe",0.0351350188281542
"250",1987,"High Seas",0.0869442541611214
"251",1987,"North America",0.0579217086752141
"252",1987,"Oceania",0.0852528862830727
"253",1987,"South America",0.0454041800093814
"254",1988,"Africa",0.0708365764586389
"255",1988,"Asia",0.0584304631274414
"256",1988,"Europe",0.0348917363227156
"257",1988,"High Seas",0.082885515765302
"258",1988,"North America",0.0622821724204632
"259",1988,"Oceania",0.0850248347472944
"260",1988,"South America",0.0453061883078643
"261",1989,"Africa",0.0692532932997921
"262",1989,"Asia",0.0582165547794274
"263",1989,"Europe",0.0350581842308411
"264",1989,"High Seas",0.0819331347086837
"265",1989,"North America",0.0619108753581838
"266",1989,"Oceania",0.0846112103859263
"267",1989,"South America",0.044985295314386
"268",1990,"Africa",0.074104487517645
"269",1990,"Asia",0.0577542927240117
"270",1990,"Europe",0.0352679916982651
"271",1990,"High Seas",0.0577273534616791
"272",1990,"North America",0.064037290440022
"273",1990,"Oceania",0.0778275864182118
"274",1990,"South America",0.0444951384761489
"275",1991,"Africa",0.074052044628886
"276",1991,"Asia",0.059454997814636
"277",1991,"Europe",0.0357306784598868
"278",1991,"High Seas",0.0802190960647146
"279",1991,"North America",0.0626844875122401
"280",1991,"Oceania",0.0775038194523445
"281",1991,"South America",0.0430191415069313
"282",1992,"Africa",0.0730179628054687
"283",1992,"Asia",0.0585931202253482
"284",1992,"Europe",0.036450117334826
"285",1992,"High Seas",0.0557687076953007
"286",1992,"North America",0.0628478624673228
"287",1992,"Oceania",0.0780247421886635
"288",1992,"South America",0.0410181145120942
"289",1993,"Africa",0.0718271126004435
"290",1993,"Asia",0.0584601045190079
"291",1993,"Europe",0.0373209499709197
"292",1993,"High Seas",0.0702199582884696
"293",1993,"North America",0.0656135660523444
"294",1993,"Oceania",0.0803572961004481
"295",1993,"South America",0.0406378642192918
"296",1994,"Africa",0.0718754158233263
"297",1994,"Asia",0.060136255466531
"298",1994,"Europe",0.0365911134854498
"299",1994,"High Seas",0.0737942380210934
"300",1994,"North America",0.0679088379447396
"301",1994,"Oceania",0.0777548015295015
"302",1994,"South America",0.0388680173914159
"303",1995,"Africa",0.0705232374837121
"304",1995,"Asia",0.0591103975411115
"305",1995,"Europe",0.0366342045252563
"306",1995,"High Seas",0.069825657517938
"307",1995,"North America",0.0646637299254764
"308",1995,"Oceania",0.0693567945313816
"309",1995,"South America",0.0383981069841085
"310",1996,"Africa",0.0693421085240691
"311",1996,"Asia",0.058787403797916
"312",1996,"Europe",0.0350662089760965
"313",1996,"High Seas",0.081016763530712
"314",1996,"North America",0.0668371636276573
"315",1996,"Oceania",0.0698983955941143
"316",1996,"South America",0.0382779430680585
"317",1997,"Africa",0.0664314345795824
"318",1997,"Asia",0.0596859961464303
"319",1997,"Europe",0.034075661943647
"320",1997,"High Seas",0.0792184243288338
"321",1997,"North America",0.0652859832690338
"322",1997,"Oceania",0.0661929315111738
"323",1997,"South America",0.0392851599195195
"324",1998,"Africa",0.066272690314522
"325",1998,"Asia",0.0598531196380963
"326",1998,"Europe",0.0348238803154747
"327",1998,"High Seas",0.0845828365296886
"328",1998,"North America",0.0606548470077194
"329",1998,"Oceania",0.0637684145352827
"330",1998,"South America",0.0428163290226249
"331",1999,"Africa",0.0664880094196854
"332",1999,"Asia",0.0590145228290212
"333",1999,"Europe",0.0346568826549897
"334",1999,"High Seas",0.0589385504714653
"335",1999,"North America",0.0598901297466202
"336",1999,"Oceania",0.0647120785066297
"337",1999,"South America",0.0418966041223243
"338",2000,"Africa",0.064985900733498
"339",2000,"Asia",0.0559411233335952
"340",2000,"Europe",0.0314442218661268
"341",2000,"High Seas",0.0588593866146356
"342",2000,"North America",0.0572410664816517
"343",2000,"Oceania",0.064595579756405
"344",2000,"South America",0.0405287986565377
"345",2001,"Africa",0.0647777343235006
"346",2001,"Asia",0.0558779420013275
"347",2001,"Europe",0.031686275122311
"348",2001,"High Seas",0.0550301893089826
"349",2001,"North America",0.0560332272645068
"350",2001,"Oceania",0.0629712677562699
"351",2001,"South America",0.039984814490835
"352",2002,"Africa",0.0664320922480498
"353",2002,"Asia",0.055571918298645
"354",2002,"Europe",0.030134842952178
"355",2002,"High Seas",0.0600168849434485
"356",2002,"North America",0.0571191560691935
"357",2002,"Oceania",0.0593354749654341
"358",2002,"South America",0.0392936338811787
"359",2003,"Africa",0.063205029290537
"360",2003,"Asia",0.0560413543832645
"361",2003,"Europe",0.0287944367129273
"362",2003,"High Seas",0.0589154208038719
"363",2003,"North America",0.0568534710685834
"364",2003,"Oceania",0.0563649922464743
"365",2003,"South America",0.040442051303709
"366",2004,"Africa",0.0635384141676824
"367",2004,"Asia",0.0544813398691853
"368",2004,"Europe",0.027242338703141
"369",2004,"High Seas",0.0651035023964371
"370",2004,"North America",0.0548701850832092
"371",2004,"Oceania",0.0582835842272175
"372",2004,"South America",0.038322092075433
"373",2005,"Africa",0.0620803905053079
"374",2005,"Asia",0.0545835861551544
"375",2005,"Europe",0.0276276612420062
"376",2005,"High Seas",0.0898224064120223
"377",2005,"North America",0.0524637712229851
"378",2005,"Oceania",0.0557771212653856
"379",2005,"South America",0.0376175420358095
"380",2006,"Africa",0.0633446524437713
"381",2006,"Asia",0.0538842238760821
"382",2006,"Europe",0.0287371427438804
"383",2006,"High Seas",0.0833419136314985
"384",2006,"North America",0.0522749045066718
"385",2006,"Oceania",0.0571682912125035
"386",2006,"South America",0.037617846548879
"387",2007,"Africa",0.0619823088551395
"388",2007,"Asia",0.0530203002197902
"389",2007,"Europe",0.0293714321586239
"390",2007,"High Seas",0.0872049373146914
"391",2007,"North America",0.0516085092622098
"392",2007,"Oceania",0.0571849092854557
"393",2007,"South America",0.0361519833922761
"394",2008,"Africa",0.0609355950913058
"395",2008,"Asia",0.0526402684853897
"396",2008,"Europe",0.0295790919011606
"397",2008,"High Seas",0.0829088947036749
"398",2008,"North America",0.0506107577099748
"399",2008,"Oceania",0.0558178295213148
"400",2008,"South America",0.036770693687005
"401",2009,"Africa",0.061942390774854
"402",2009,"Asia",0.0541118990648037
"403",2009,"Europe",0.0286115573675787
"404",2009,"High Seas",0.092270055797021
"405",2009,"North America",0.0511269604019985
"406",2009,"Oceania",0.055754251273689
"407",2009,"South America",0.0392587339070895
"408",2010,"Africa",0.0596790701105591
"409",2010,"Asia",0.053664177353432
"410",2010,"Europe",0.0279805068978319
"411",2010,"High Seas",0.0999841210333818
"412",2010,"North America",0.0518603254155209
"413",2010,"Oceania",0.0529961532111816
"414",2010,"South America",0.0385215477654585
"415",2011,"Africa",0.0588768932760619
"416",2011,"Asia",0.0538793618604779
"417",2011,"Europe",0.027196616945014
"418",2011,"High Seas",0.091968432768966
"419",2011,"North America",0.0501865937337316
"420",2011,"Oceania",0.0566284512498621
